College ,Rating,Course,Duration,City,State,Country,Average Fees,Acceptance Rate
Indira Gandhi National Open University,3.88, Automation and Networking,2 Years,New Delhi,Delhi,India,57191.80328,71.92%
Indian Maritime University,3.45, B. Sc Nautical Science,3 Years,Chennai,Tamil Nadu,India,597763.1579,68.48%
ACME College of Engineering,3.2, B. Tech Civil Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,47.04%
ACME College of Engineering,3.2, B. Tech Computer Science and Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,75.71%
ACME College of Engineering,3.2, B. Tech Electrical and Electronics Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,79.89%
ACME College of Engineering,3.2, B. Tech Electronics and Communication Engineering,4 Years,Saunda,Uttar Pradesh,India,300000,57.09%
ACME College of Engineering,3.2, B. Tech Information Technology,4 Years,Saunda,Uttar Pradesh,India,300000,88.02%
Aarupadai Veedu Institute of Technology,2.47, B.Arch,4 Years,Karunguzhipallam,Tamil Nadu,India,234642.8571,64.35%
Adhiyamaan College of Engineering,2.69, B.Arch,,Krishnagiri,Tamil Nadu,India,235437.5,
Indian Institute of Technology Banaras Hindu University Varanasi ,3.45, B.Arch,4 Years,Varanasi,Uttar Pradesh,India,445083.0189,54.68%
Indira Gandhi Institute of Technology,3.86, B.Arch,4 Years,Khalapal,Odisha,India,161636.3636,83.65%
Adesh Institute of Technology,2.33, B.Com,3 Years,Gharuan,Punjab,India,273000,50.94%
Abhilashi University,3.73, B.Com,3 Years,Chail-Chowk,Himachal Pradesh,India,251833.3333,45.17%
Indira Gandhi National Open University,3.88, B.Com,3 Years,New Delhi,Delhi,India,57191.80328,57.02%
Indira Gandhi National Open University,3.88, B.Com Accountancy and Finance Major,3 Years,New Delhi,Delhi,India,57191.80328,80.01%
Indira Gandhi National Open University,3.88, B.Com Corporate Affairs and Administration Major,3 Years,New Delhi,Delhi,India,57191.80328,49.41%
Indira Gandhi National Open University,3.88, B.Com Financial and Cost Accounting Major,3 Years,New Delhi,Delhi,India,57191.80328,88.76%
Adamas University,3.03, B.Com Hons,3 Years,Kolkata,West Bengal,India,332156.25,63.92%
Academy of Maritime Education and Training,2.53, B.Com Logistics and Computer Applications,3 Years,Kanathur Reddikuppam,Tamil Nadu,India,600000,48.38%
Indian Institute of Technology Guwahati ,3.45, B.Des,4 Years,Guwahati,Assam,India,254171.9512,62.07%
Adamas University,3.03, B.Ed,2 Years,Kolkata,West Bengal,India,332156.25,82.45%
Indira Gandhi National Open University,3.88, B.Ed,2 Years,New Delhi,Delhi,India,57191.80328,76.41%
Indira Gandhi National Open University,3.88, B.Lib.I.Sc,2 Years,New Delhi,Delhi,India,57191.80328,74.82%
Adamas University,3.03, B.Pharma,2 Years,Kolkata,West Bengal,India,332156.25,59.94%
Abhilashi University,3.73, B.Pharma Allotropy,2 Years,Chail-Chowk,Himachal Pradesh,India,251833.3333,67.03%
Acharya NG Ranga Agricultural University,3.62, B.Sc Agriculture,3 Years,Guntur,Andhra Pradesh,India,66596,51.03%
